258:  (5)310010, -1: 
259:  (5)311000, -1: 
260:  (5)211100, 223:  (6)211110
261:  (5)201110, 223:  (6)211110
262:  (5)301010, -1: 
263:  (5)310100, -1: 
264:  (5)301100, -1: 
265:  (5)300110, -1: 
266:  (5)310010, -1: 
267:  (5)311000, -1: 
268:  (5)301010, -1: 
269:  (5)310100, -1: 
270:  (5)211010, 223:  (6)211110
271:  (5)301100, -1: 
272:  (5)210110, 223:  (6)211110
273:  (5)300110, -1: 
274:  (5)310010, -1: 
275:  (5)311000, -1: 
276:  (5)211100, 223:  (6)211110
277:  (5)201110, 223:  (6)211110
278:  (5)301010, -1: 
279:  (5)310100, -1: 
280:  (5)301100, -1: 
281:  (5)300110, -1: 
282:  (5)310010, -1: 
283:  (5)311000, -1: 
284:  (5)301010, -1: 
285:  (5)310100, -1: 
286:  (5)211010, 223:  (6)211110
287:  (5)301100, -1: 
288:  (5)210110, 223:  (6)211110
289:  (5)300110, -1: 
290:  (5)310010, -1: 
291:  (5)311000, -1: 
292:  (5)211100, 223:  (6)211110
293:  (5)201110, 223:  (6)211110
294:  (5)301010, -1: 
295:  (5)310100, -1: 
296:  (5)211010, 223:  (6)211110
297:  (5)301100, -1: 
298:  (5)210110, 223:  (6)211110
299:  (5)300110, -1: 
300:  (5)310010, -1: 
301:  (5)311000, -1: 
302:  (5)211100, 223:  (6)211110
303:  (5)201110, 223:  (6)211110
304:  (5)130100, -1: 
305:  (5)031010, -1: 
306:  (5)030110, -1: 
307:  (5)130010, -1: 
308:  (5)131000, -1: 
309:  (5)031100, -1: 
310:  (5)121010, 63:  (6)121110
311:  (5)130100, -1: 
312:  (5)031010, -1: 
313:  (5)121100, 62:  (6)122100
314:  (5)030110, -1: 
315:  (5)120110, 63:  (6)121110
316:  (5)130010, -1: 
317:  (5)131000, -1: 
318:  (5)031100, -1: 
319:  (5)021110, 63:  (6)121110
320:  (5)121010, 63:  (6)121110
321:  (5)130100, -1: 
322:  (5)031010, -1: 
323:  (5)121100, 62:  (6)122100
324:  (5)030110, -1: 
325:  (5)120110, 63:  (6)121110
326:  (5)130010, -1: 
327:  (5)131000, -1: 
328:  (5)031100, -1: 
329:  (5)021110, 63:  (6)121110
330:  (5)121010, 63:  (6)121110
331:  (5)130100, -1: 
332:  (5)031010, -1: 
333:  (5)121100, 62:  (6)122100
334:  (5)030110, -1: 
335:  (5)120110, 63:  (6)121110
336:  (5)130010, -1: 
337:  (5)131000, -1: 
338:  (5)031100, -1: 
339:  (5)021110, 63:  (6)121110
340:  (5)130100, -1: 
341:  (5)031010, -1: 
342:  (5)030110, -1: 
343:  (5)130010, -1: 
344:  (5)131000, -1: 
345:  (5)031100, -1: 
346:  (5)121010, 63:  (6)121110
347:  (5)130100, -1: 
348:  (5)031010, -1: 
349:  (5)121100, 62:  (6)122100
350:  (5)030110, -1: 
351:  (5)120110, 63:  (6)121110
352:  (5)130010, -1: 
353:  (5)131000, -1: 
354:  (5)031100, -1: 
355:  (5)021110, 63:  (6)121110
356:  (5)130100, -1: 
357:  (5)031010, -1: 
358:  (5)030110, -1: 
359:  (5)130010, -1: 
360:  (5)131000, -1: 
361:  (5)031100, -1: 
362:  (5)121010, 63:  (6)121110
363:  (5)130100, -1: 
364:  (5)031010, -1: 
365:  (5)121100, 62:  (6)122100
366:  (5)030110, -1: 
367:  (5)120110, 63:  (6)121110
368:  (5)130010, -1: 
369:  (5)131000, -1: 
370:  (5)031100, -1: 
371:  (5)021110, 63:  (6)121110
372:  (5)121010, 63:  (6)121110
373:  (5)130100, -1: 
374:  (5)031010, -1: 
375:  (5)121100, 62:  (6)122100
376:  (5)030110, -1: 
377:  (5)120110, 63:  (6)121110
378:  (5)130010, -1: 
379:  (5)131000, -1: 
380:  (5)031100, -1: 
381:  (5)021110, 63:  (6)121110
382:  (5)130100, -1: 
383:  (5)031010, -1: 
384:  (5)030110, -1: 
385:  (5)130010, -1: 
386:  (5)131000, -1: 
387:  (5)031100, -1: 
388:  (5)301010, -1: 
389:  (5)310100, -1: 
390:  (5)301100, -1: 
391:  (5)300110, -1: 
392:  (5)310010, -1: 
393:  (5)311000, -1: 
394:  (5)301010, -1: 
395:  (5)310100, -1: 
396:  (5)211010, 223:  (6)211110
397:  (5)301100, -1: 
398:  (5)210110, 223:  (6)211110
399:  (5)300110, -1: 
400:  (5)310010, -1: 
401:  (5)311000, -1: 
402:  (5)211100, 223:  (6)211110
403:  (5)201110, 223:  (6)211110
404:  (5)301010, -1: 
405:  (5)310100, -1: 
406:  (5)211010, 223:  (6)211110
407:  (5)301100, -1: 
408:  (5)210110, 223:  (6)211110
409:  (5)300110, -1: 
410:  (5)310010, -1: 
411:  (5)311000, -1: 
412:  (5)211100, 223:  (6)211110
413:  (5)201110, 223:  (6)211110
414:  (5)301010, -1: 
415:  (5)310100, -1: 
416:  (5)301100, -1: 
417:  (5)300110, -1: 
418:  (5)310010, -1: 
419:  (5)311000, -1: 
420:  (5)301010, -1: 
421:  (5)310100, -1: 
422:  (5)211010, 223:  (6)211110
423:  (5)301100, -1: 
424:  (5)210110, 223:  (6)211110
425:  (5)300110, -1: 
426:  (5)310010, -1: 
427:  (5)311000, -1: 
428:  (5)211100, 223:  (6)211110
429:  (5)201110, 223:  (6)211110
430:  (5)301010, -1: 
431:  (5)310100, -1: 
432:  (5)301100, -1: 
433:  (5)300110, -1: 
434:  (5)310010, -1: 
435:  (5)311000, -1: 
436:  (5)301010, -1: 
437:  (5)310100, -1: 
438:  (5)211010, 223:  (6)211110
439:  (5)301100, -1: 
440:  (5)210110, 223:  (6)211110
441:  (5)300110, -1: 
442:  (5)310010, -1: 
443:  (5)311000, -1: 
444:  (5)211100, 223:  (6)211110
445:  (5)201110, 223:  (6)211110
446:  (5)101030, -1: 
447:  (5)110120, 4:  (6)111120
448:  (5)011030, -1: 
449:  (5)101120, 4:  (6)111120
450:  (5)010130, -1: 
451:  (5)100130, -1: 
452:  (5)110030, -1: 
453:  (5)111020, 4:  (6)111120
454:  (5)011120, 4:  (6)111120
455:  (5)001130, -1: 
456:  (5)101030, -1: 
457:  (5)011030, -1: 
458:  (5)010130, -1: 
459:  (5)100130, -1: 
460:  (5)110030, -1: 
461:  (5)001130, -1: 
462:  (5)101030, -1: 
463:  (5)011030, -1: 
464:  (5)010130, -1: 
465:  (5)100130, -1: 
466:  (5)110030, -1: 
467:  (5)001130, -1: 
468:  (5)101030, -1: 
469:  (5)110120, 4:  (6)111120
470:  (5)011030, -1: 
471:  (5)101120, 4:  (6)111120
472:  (5)010130, -1: 
473:  (5)100130, -1: 
474:  (5)110030, -1: 
475:  (5)111020, 4:  (6)111120
476:  (5)011120, 4:  (6)111120
477:  (5)001130, -1: 
478:  (5)101030, -1: 
479:  (5)110120, 4:  (6)111120
480:  (5)011030, -1: 
481:  (5)101120, 4:  (6)111120
482:  (5)010130, -1: 
483:  (5)100130, -1: 
484:  (5)110030, -1: 
485:  (5)111020, 4:  (6)111120
486:  (5)011120, 4:  (6)111120
487:  (5)001130, -1: 
488:  (5)101030, -1: 
489:  (5)110120, 4:  (6)111120
490:  (5)011030, -1: 
491:  (5)101120, 4:  (6)111120
492:  (5)010130, -1: 
493:  (5)100130, -1: 
494:  (5)110030, -1: 
495:  (5)111020, 4:  (6)111120
496:  (5)011120, 4:  (6)111120
497:  (5)001130, -1: 
498:  (5)101030, -1: 
499:  (5)011030, -1: 
500:  (5)010130, -1: 
501:  (5)100130, -1: 
502:  (5)110030, -1: 
503:  (5)001130, -1: 
504:  (5)101030, -1: 
505:  (5)110120, 4:  (6)111120
506:  (5)011030, -1: 
507:  (5)101120, 4:  (6)111120
508:  (5)010130, -1: 
509:  (5)100130, -1: 
510:  (5)110030, -1: 
511:  (5)111020, 4:  (6)111120
512:  (5)011120, 4:  (6)111120
513:  (5)001130, -1: 
514:  (5)101030, -1: 
515:  (5)011030, -1: 
516:  (5)010130, -1: 
517:  (5)100130, -1: 
518:  (5)110030, -1: 
519:  (5)001130, -1: 
520:  (5)101030, -1: 
521:  (5)110120, 4:  (6)111120
522:  (5)011030, -1: 
523:  (5)101120, 4:  (6)111120
524:  (5)010130, -1: 
525:  (5)100130, -1: 
526:  (5)110030, -1: 
527:  (5)111020, 4:  (6)111120
528:  (5)011120, 4:  (6)111120
529:  (5)001130, -1: 
530:  (5)101210, 5:  (6)101220
531:  (5)110300, -1: 
532:  (5)011210, 2:  (6)012210
533:  (5)101300, -1: 
534:  (5)010310, -1: 
535:  (5)100310, -1: 
536:  (5)110210, 9:  (6)111210
537:  (5)111200, 9:  (6)111210
538:  (5)011300, -1: 
539:  (5)001310, -1: 
540:  (5)101210, 5:  (6)101220
541:  (5)110300, -1: 
542:  (5)011210, 2:  (6)012210
543:  (5)101300, -1: 
544:  (5)010310, -1: 
545:  (5)100310, -1: 
546:  (5)110210, 9:  (6)111210
547:  (5)111200, 9:  (6)111210
548:  (5)011300, -1: 
549:  (5)001310, -1: 
550:  (5)110300, -1: 
551:  (5)101300, -1: 
552:  (5)010310, -1: 
553:  (5)100310, -1: 
554:  (5)011300, -1: 
555:  (5)001310, -1: 
556:  (5)110300, -1: 
557:  (5)101300, -1: 
558:  (5)010310, -1: 
559:  (5)100310, -1: 
560:  (5)011300, -1: 
561:  (5)001310, -1: 
562:  (5)101210, 5:  (6)101220
563:  (5)110300, -1: 
564:  (5)011210, 2:  (6)012210
565:  (5)101300, -1: 
566:  (5)010310, -1: 
567:  (5)100310, -1: 
568:  (5)110210, 9:  (6)111210
569:  (5)111200, 9:  (6)111210
570:  (5)011300, -1: 
571:  (5)001310, -1: 
572:  (5)101210, 5:  (6)101220
573:  (5)110300, -1: 
574:  (5)011210, 2:  (6)012210
575:  (5)101300, -1: 
576:  (5)010310, -1: 
577:  (5)100310, -1: 
578:  (5)110210, 9:  (6)111210
579:  (5)111200, 9:  (6)111210
580:  (5)011300, -1: 
581:  (5)001310, -1: 
582:  (5)101210, 5:  (6)101220
583:  (5)110300, -1: 
584:  (5)011210, 2:  (6)012210
585:  (5)101300, -1: 
586:  (5)010310, -1: 
587:  (5)100310, -1: 
588:  (5)110210, 9:  (6)111210
589:  (5)111200, 9:  (6)111210
590:  (5)011300, -1: 
591:  (5)001310, -1: 
592:  (5)110300, -1: 
593:  (5)101300, -1: 
594:  (5)010310, -1: 
595:  (5)100310, -1: 
596:  (5)011300, -1: 
597:  (5)001310, -1: 
598:  (5)101210, 5:  (6)101220
599:  (5)110300, -1: 
600:  (5)011210, 2:  (6)012210
601:  (5)101300, -1: 
602:  (5)010310, -1: 
603:  (5)100310, -1: 
604:  (5)110210, 9:  (6)111210
605:  (5)111200, 9:  (6)111210
606:  (5)011300, -1: 
607:  (5)001310, -1: 
608:  (5)110300, -1: 
609:  (5)101300, -1: 
610:  (5)010310, -1: 
611:  (5)100310, -1: 
612:  (5)011300, -1: 
613:  (5)001310, -1: 
614:  (5)101030, -1: 
615:  (5)011030, -1: 
616:  (5)010130, -1: 
617:  (5)100130, -1: 
618:  (5)110030, -1: 
619:  (5)001130, -1: 
620:  (5)101030, -1: 
621:  (5)110120, 4:  (6)111120
622:  (5)011030, -1: 
623:  (5)101120, 4:  (6)111120
624:  (5)010130, -1: 
625:  (5)100130, -1: 
626:  (5)110030, -1: 
627:  (5)111020, 4:  (6)111120
628:  (5)011120, 4:  (6)111120
629:  (5)001130, -1: 
630:  (5)101030, -1: 
631:  (5)110120, 4:  (6)111120
632:  (5)011030, -1: 
633:  (5)101120, 4:  (6)111120
634:  (5)010130, -1: 
635:  (5)100130, -1: 
636:  (5)110030, -1: 
637:  (5)111020, 4:  (6)111120
638:  (5)011120, 4:  (6)111120
639:  (5)001130, -1: 
640:  (5)101030, -1: 
641:  (5)011030, -1: 
642:  (5)010130, -1: 
643:  (5)100130, -1: 
644:  (5)110030, -1: 
645:  (5)001130, -1: 
646:  (5)101030, -1: 
647:  (5)110120, 4:  (6)111120
648:  (5)011030, -1: 
649:  (5)101120, 4:  (6)111120
650:  (5)010130, -1: 
651:  (5)100130, -1: 
652:  (5)110030, -1: 
653:  (5)111020, 4:  (6)111120
654:  (5)011120, 4:  (6)111120
655:  (5)001130, -1: 
656:  (5)101030, -1: 
657:  (5)011030, -1: 
658:  (5)010130, -1: 
659:  (5)100130, -1: 
660:  (5)110030, -1: 
661:  (5)001130, -1: 
662:  (5)101030, -1: 
663:  (5)110120, 4:  (6)111120
664:  (5)011030, -1: 
665:  (5)101120, 4:  (6)111120
666:  (5)010130, -1: 
667:  (5)100130, -1: 
668:  (5)110030, -1: 
669:  (5)111020, 4:  (6)111120
670:  (5)011120, 4:  (6)111120
671:  (5)001130, -1: 
672:  (5)103010, -1: 
673:  (5)112100, 3:  (6)112110
674:  (5)013010, -1: 
675:  (5)103100, -1: 
676:  (5)012110, 2:  (6)012210
677:  (5)102110, 3:  (6)112110
678:  (5)112010, 3:  (6)112110
679:  (5)113000, -1: 
680:  (5)013100, -1: 
681:  (5)003110, -1: 
682:  (5)103010, -1: 
683:  (5)112100, 3:  (6)112110
684:  (5)013010, -1: 
685:  (5)103100, -1: 
686:  (5)012110, 2:  (6)012210
687:  (5)102110, 3:  (6)112110
688:  (5)112010, 3:  (6)112110
689:  (5)113000, -1: 
690:  (5)013100, -1: 
691:  (5)003110, -1: 
692:  (5)103010, -1: 
693:  (5)112100, 3:  (6)112110
694:  (5)013010, -1: 
695:  (5)103100, -1: 
696:  (5)012110, 2:  (6)012210
697:  (5)102110, 3:  (6)112110
698:  (5)112010, 3:  (6)112110
699:  (5)113000, -1: 
700:  (5)013100, -1: 
701:  (5)003110, -1: 
702:  (5)103010, -1: 
703:  (5)013010, -1: 
704:  (5)103100, -1: 
705:  (5)113000, -1: 
706:  (5)013100, -1: 
707:  (5)003110, -1: 
708:  (5)103010, -1: 
709:  (5)013010, -1: 
710:  (5)103100, -1: 
711:  (5)113000, -1: 
712:  (5)013100, -1: 
713:  (5)003110, -1: 
714:  (5)103010, -1: 
715:  (5)013010, -1: 
716:  (5)103100, -1: 
717:  (5)113000, -1: 
718:  (5)013100, -1: 
719:  (5)003110, -1: 
720:  (5)103010, -1: 
721:  (5)112100, 3:  (6)112110
722:  (5)013010, -1: 
723:  (5)103100, -1: 
724:  (5)012110, 2:  (6)012210
725:  (5)102110, 3:  (6)112110
726:  (5)112010, 3:  (6)112110
727:  (5)113000, -1: 
728:  (5)013100, -1: 
729:  (5)003110, -1: 
730:  (5)103010, -1: 
731:  (5)112100, 3:  (6)112110
732:  (5)013010, -1: 
733:  (5)103100, -1: 
734:  (5)012110, 2:  (6)012210
735:  (5)102110, 3:  (6)112110
736:  (5)112010, 3:  (6)112110
737:  (5)113000, -1: 
738:  (5)013100, -1: 
739:  (5)003110, -1: 
740:  (5)103010, -1: 
741:  (5)013010, -1: 
742:  (5)103100, -1: 
743:  (5)113000, -1: 
744:  (5)013100, -1: 
745:  (5)003110, -1: 
746:  (5)103010, -1: 
747:  (5)112100, 3:  (6)112110
748:  (5)013010, -1: 
